Time (s),Channel 1 (V),Channel 2 (V)
-0.0004291593801352054,0.07936382783697758,-0.001797977743143314
-0.0004290293801352054,0.07699249502991104,-0.001797977743143314
-0.0004288993801352054,0.0746211622228445,-0.002137046986953032
-0.0004287693801352054,0.07055602026787329,-0.002476116230762749
-0.0004286393801352054,0.06682964014248301,-0.002476116230762749
-0.0004285093801352054,0.0627644981875118,-0.002137046986953032
-0.0004283793801352054,0.05971564172128338,-0.001797977743143314
-0.0004282493801352054,0.05565049976631217,-0.001797977743143314
-0.0004281193801352054,0.05395669061840749,-0.0007807700117141612
-0.0004279893801352054,0.05090783415217909,-0.001119839255523879
-0.0004278593801352054,0.04819773951553161,-0.0004417007679044436
-0.0004277293801352054,0.0451488830493032,-0.001119839255523879
-0.0004275993801352054,0.0421000265830748,-0.0004417007679044436
-0.0004274693801352054,0.03972869377600825,-0.0007807700117141612
-0.0004273393801352054,0.03667983730977985,-0.001119839255523879
-0.0004272093801352054,0.0332922190139705,-0.001119839255523879
-0.0004270793801352054,0.03193717169564676,-0.001458908499333596
-0.0004269493801352054,0.02854955339983742,-0.001458908499333596
-0.0004268193801352054,0.02583945876318994,-0.0004417007679044436
-0.0004266893801352054,0.02346812595612341,-0.0001026315240947261
-0.0004265593801352054,0.020419269489895,0.0005755069635247092
-0.0004264293801352054,0.020419269489895,0.0005755069635247092
-0.0004262993801352054,0.01737041302366659,0.0005755069635247092
-0.0004261693801352054,0.01330527106869537,0.0002364377197149915
-0.0004260393801352054,0.01025641460246697,-0.0007807700117141612
-0.0004259093801352054,0.00517498715875295,-0.001119839255523879
-0.0004257793801352054,0.001448607033362672,-0.0001026315240947261
-0.0004256493801352054,-0.001939011262446672,0.00328806091400245
-0.0004255193801352054,-0.00566539138783695,0.001592714694953862
-0.0004253893801352054,-0.007697962365322556,0.0009145762073344267
-0.0004252593801352054,-0.0100692951723891,-0.0001026315240947261
-0.0004251293801352054,-0.0110855806611319,-0.0004417007679044436
-0.0004249993801352054,-0.01548948444568405,-0.0001026315240947261
-0.0004248693801352054,-0.01786081725275059,0.0002364377197149915
-0.0004247393801352054,-0.02057091188939806,-0.0001026315240947261
-0.0004246093801352054,-0.02531357750353114,-0.0007807700117141612
-0.0004244793801352054,-0.02700738665143581,-0.001797977743143314
-0.0004243493801352054,-0.02971748128808329,-0.001458908499333596
-0.0004242193801352054,-0.0317500522655689,-0.002137046986953032
-0.0004240893801352054,-0.03412138507263543,-0.001797977743143314
-0.0004239593801352054,-0.03581519422054011,-0.002137046986953032
-0.0004238293801352054,-0.03818652702760665,-0.002137046986953032
-0.0004236993801352054,-0.0436067163009016,-0.002137046986953032
-0.0004235693801352054,-0.04767185825587281,-0.002476116230762749
-0.0004234393801352054,-0.04970442923335841,-0.001797977743143314
-0.0004233093801352054,-0.05241452387000589,-0.0007807700117141612
-0.0004231793801352054,-0.0544470948474915,-0.001458908499333596
-0.0004230493801352054,-0.05885099863204364,-0.001458908499333596
-0.0004229193801352054,-0.06088356960952925,-0.001458908499333596
-0.0004227893801352054,-0.06257737875743392,-0.001119839255523879
-0.0004226593801352054,-0.06630375888282419,-0.001119839255523879
-0.0004225293801352054,-0.06935261534905261,-0.001458908499333596
-0.0004223993801352054,-0.07274023364486194,-0.002137046986953032
-0.0004222693801352054,-0.07748289925899503,-0.001119839255523879
-0.0004221393801352054,-0.07951547023648063,-0.001119839255523879
-0.0004220093801352054,-0.08256432670270905,-0.001119839255523879
-0.0004218793801352054,-0.08459689768019465,-0.001119839255523879
-0.0004217493801352054,-0.08764575414642306,-0.001458908499333596
-0.0004216193801352054,-0.08933956329432774,-0.002137046986953032
-0.0004214893801352054,-0.09204965793097521,-0.002137046986953032
-0.0004213593801352054,-0.09442099073804175,-0.002476116230762749
-0.0004212293801352054,-0.09746984720427015,-0.002137046986953032
-0.0004210993801352054,-0.09916365635217483,-0.001458908499333596
-0.0004209693801352054,-0.1015349891592414,-0.001458908499333596
-0.0004208393801352054,-0.1059388929437935,-0.001797977743143314
-0.0004207093801352054,-0.1100040348987647,-0.002137046986953032
-0.0004205793801352054,-0.1123753677058313,-0.001797977743143314
-0.0004204493801352054,-0.1144079386833169,-0.001458908499333596
-0.0004203193801352054,-0.1157629860016406,-0.001119839255523879
-0.0004201893801352054,-0.1198281279566118,-0.001797977743143314
